['191', '568', '244', '419', '92']
['908', '564', '176', '248', '530']
['215', '336', '31', '432', '124']
['516', '876', '551', '62', '924']
['366', '499', '51', '376', '199']
['788', '886', '297', '552', '56']
['53', '408', '603', '606', '321']
['752', '945', '950', '325', '33']
['663', '226', '301', '107', '786']
['765', '623', '427', '520', '144']
['85', '161', '103', '957', '668']
['536', '605', '602', '256', '722']
['685', '329', '925', '579', '710']
['80', '498', '911', '604', '787']
['879', '550', '581', '159', '695']
['13', '863', '78', '453', '877']
['406', '493', '687', '963', '118']
['444', '466', '360', '164', '101']
['433', '906', '46', '977', '318']
['904', '495', '249', '106', '960']
['91', '82', '560', '253', '2']
['182', '727', '554', '970', '368']
['515', '501', '915', '873', '177']
['300', '545', '566', '708', '12']
['983', '184', '696', '754', '537']
['713', '507', '682', '794', '763']
['858', '172', '600', '813', '784']
['903', '556', '347', '236', '529']
['817', '186', '717', '230', '413']
['72', '460', '975', '307', '479']
['973', '649', '636', '677', '638']
['703', '3', '780', '143', '881']
['857', '63', '127', '367', '195']
['869', '706', '669', '452', '455']
['183', '895', '766', '345', '213']
['728', '220', '20', '978', '912']
['648', '120', '743', '322', '4']
['640', '148', '619', '772', '661']
['122', '741', '217', '171', '665']
['868', '818', '974', '32', '141']
['465', '534', '997', '909', '653']
['180', '847', '309', '721', '451']
['572', '761', '913', '185', '617']
['601', '261', '315', '803', '19']
['130', '991', '676', '179', '145']
['938', '473', '274', '615', '412']
['202', '404', '64', '730', '816']
['117', '388', '773', '87', '40']
['158', '933', '358', '298', '146']
['850', '828', '405', '622', '222']
['94', '700', '292', '538', '767']
['108', '469', '283', '390', '833']
['340', '100', '478', '129', '795']
['247', '10', '646', '870', '168']
['74', '693', '790', '620', '923']
['383', '18', '234', '206', '672']
['96', '26', '720', '958', '996']
['673', '883', '689', '370', '549']
['377', '723', '783', '128', '407']
['684', '969', '594', '116', '961']
['621', '658', '269', '647', '835']
['651', '430', '316', '237', '578']
['299', '267', '163', '562', '71']
['942', '588', '414', '992', '807']
['52', '547', '867', '943', '140']
['907', '902', '592', '121', '597']
['105', '806', '949', '295', '429']
['571', '384', '841', '940', '251']
['327', '691', '989', '420', '290']
['671', '203', '512', '834', '726']
['618', '486', '250', '694', '189']
['335', '434', '679', '285', '338']
['416', '760', '14', '311', '457']
['341', '774', '491', '820', '980']
['165', '480', '350', '115', '472']
['374', '797', '583', '7', '258']
['852', '751', '194', '260', '371']
