['871', '489', '608', '701', '456', '143', '295', '448', '795', '249', '342', '954', '87', '45', '738', '257', '922', '44', '716', '858']
['545', '115', '367', '391', '319', '350', '358', '566', '160', '638', '730', '659', '761', '831', '879', '478', '111', '676', '778', '179']
['921', '180', '146', '237', '264', '897', '41', '261', '520', '393', '397', '674', '666', '359', '190', '351', '745', '631', '684', '571']
['315', '837', '161', '227', '259', '83', '0', '310', '170', '472', '980', '757', '47', '556', '226', '216', '17', '440', '619', '434']
['262', '75', '281', '866', '654', '602', '455', '694', '681', '102', '355', '908', '335', '467', '184', '382', '568', '513', '522', '289']
['985', '509', '779', '419', '762', '562', '594', '482', '812', '561', '126', '61', '406', '572', '902', '936', '471', '273', '950', '816']
['80', '532', '221', '207', '768', '773', '395', '288', '937', '727', '7', '125', '895', '429', '398', '550', '865', '916', '90', '537']
['500', '375', '22', '832', '392', '767', '236', '848', '744', '739', '139', '222', '453', '163', '801', '334', '377', '540', '742', '14']
['204', '352', '616', '852', '483', '156', '462', '747', '468', '844', '815', '389', '366', '755', '914', '373', '724', '884', '535', '827']
['752', '760', '861', '956', '811', '302', '466', '671', '444', '972', '642', '504', '680', '437', '348', '585', '304', '794', '644', '503']
['269', '759', '820', '569', '693', '627', '144', '581', '547', '828', '962', '994', '933', '329', '600', '672', '84', '541', '698', '800']
['239', '763', '822', '235', '599', '386', '579', '796', '718', '917', '124', '200', '880', '647', '823', '446', '864', '104', '595', '36']
['214', '376', '305', '573', '81', '650', '909', '765', '405', '807', '278', '68', '56', '422', '185', '782', '982', '935', '791', '49']
['590', '662', '558', '424', '873', '109', '371', '944', '311', '521', '155', '507', '799', '787', '596', '372', '230', '266', '324', '4']
['400', '582', '178', '431', '793', '591', '417', '330', '287', '517', '465', '172', '506', '961', '991', '775', '66', '736', '88', '817']
['73', '488', '6', '415', '286', '127', '327', '322', '667', '306', '847', '891', '639', '941', '254', '198', '661', '34', '94', '33']
['13', '648', '881', '165', '923', '196', '704', '98', '369', '552', '344', '487', '539', '323', '345', '597', '168', '328', '856', '219']
['575', '361', '50', '874', '604', '988', '798', '882', '110', '442', '92', '128', '542', '968', '533', '957', '593', '171', '682', '410']
['735', '62', '378', '915', '912', '412', '486', '792', '663', '232', '592', '713', '210', '743', '975', '282', '877', '284', '706', '308']
['614', '24', '458', '316', '251', '317', '657', '201', '245', '634', '39', '675', '154', '737', '217', '769', '878', '502', '551', '276']
['623', '433', '479', '132', '212', '279', '493', '452', '526', '940', '705', '974', '560', '748', '459', '588', '46', '557', '869', '929']
['265', '976', '714', '151', '853', '999', '518', '103', '52', '622', '387', '530', '240', '770', '658', '836', '607', '818', '688', '553']
['362', '383', '577', '825', '618', '751', '409', '523', '9', '321', '119', '925', '54', '460', '814', '100', '673', '18', '559', '496']
['432', '255', '888', '805', '838', '89', '632', '711', '26', '949', '274', '253', '849', '454', '194', '720', '252', '436', '731', '267']
['870', '364', '808', '325', '583', '723', '958', '312', '203', '250', '447', '719', '987', '859', '169', '147', '331', '624', '686', '225']
['182', '824', '905', '525', '76', '576', '96', '570', '164', '876', '531', '318', '689', '403', '481', '510', '430', '678', '948', '715']
['470', '16', '301', '964', '298', '122', '997', '883', '584', '746', '220', '931', '932', '208', '186', '114', '620', '55', '283', '889']
['995', '476', '625', '484', '840', '106', '275', '893', '1', '218', '508', '630', '121', '609', '420', '947', '138', '79', '428', '651']
['474', '256', '668', '851', '166', '842', '797', '981', '934', '732', '862', '766', '783', '229', '574', '224', '628', '578', '660', '613']
['610', '65', '116', '193', '349', '813', '788', '505', '809', '381', '421', '534', '113', '970', '772', '314', '955', '637', '401', '789']
['830', '835', '205', '753', '43', '725', '492', '685', '268', '911', '919', '451', '357', '183', '118', '677', '641', '242', '473', '31']
