['287', '928', '619', '198', '768', '58', '903', '690', '947', '23', '526', '310', '193', '940', '36', '826', '97', '642', '226', '341', '915', '576', '187', '558', '675', '240', '703', '213', '632', '734', '31']
['296', '529', '462', '901', '670', '109', '474', '390', '513', '614', '254', '427', '762', '106', '49', '613', '451', '864', '393', '464', '927', '766', '354', '37', '421', '777', '563', '478', '916', '350', '611']
['598', '846', '234', '139', '880', '375', '165', '770', '719', '94', '799', '52', '825', '635', '122', '881', '68', '646', '824', '542', '555', '869', '111', '256', '386', '827', '46', '441', '837', '602', '166']
['20', '286', '874', '202', '274', '6', '163', '371', '27', '447', '600', '720', '685', '852', '535', '573', '485', '705', '552', '541', '771', '502', '504', '858', '936', '570', '210', '206', '118', '621', '531']
['549', '653', '395', '568', '388', '883', '448', '324', '709', '643', '417', '757', '733', '293', '875', '181', '791', '321', '190', '860', '946', '369', '789', '300', '315', '628', '873', '727', '25', '923', '630']
['909', '937', '662', '751', '215', '523', '616', '328', '241', '926', '921', '318', '755', '439', '712', '416', '218', '366', '759', '238', '765', '360', '830', '90', '64', '121', '723', '798', '797', '282', '930']
['931', '127', '527', '618', '955', '801', '136', '631', '141', '364', '809', '745', '399', '493', '272', '694', '307', '335', '220', '332', '633', '920', '404', '834', '232', '497', '164', '859', '243', '212', '4']
['250', '689', '479', '288', '456', '152', '459', '29', '490', '275', '586', '851', '567', '538', '740', '917', '63', '536', '437', '408', '539', '47', '677', '131', '224', '454', '778', '774', '572', '843', '509']
['607', '848', '704', '738', '410', '93', '145', '108', '255', '1', '438', '589', '695', '327', '343', '819', '468', '918', '708', '217', '753', '114', '214', '105', '269', '785', '306', '823', '822', '515', '732']
['645', '246', '481', '201', '794', '882', '424', '664', '540', '735', '396', '551', '249', '133', '124', '486', '863', '62', '397', '151', '879', '279', '342', '742', '911', '805', '266', '597', '943', '896', '412']
['871', '636', '808', '811', '225', '123', '729', '308', '378', '313', '392', '951', '54', '140', '463', '658', '787', '897', '168', '271', '543', '359', '425', '157', '65', '81', '866', '374', '205', '912', '312']
['367', '471', '340', '867', '952', '194', '189', '363', '620', '345', '861', '564', '737', '261', '769', '495', '84', '726', '776', '517', '473', '663', '647', '446', '958', '800', '683', '248', '376', '176', '301']
['583', '135', '79', '453', '790', '211', '260', '582', '294', '849', '161', '137', '207', '833', '681', '311', '953', '802', '657', '128', '80', '560', '15', '661', '673', '950', '414', '581', '0', '718', '679']
['18', '338', '714', '841', '280', '498', '831', '24', '420', '329', '761', '948', '147', '17', '245', '566', '394', '838', '763', '277', '865', '665', '707', '219', '779', '45', '716', '782', '499', '651', '512']
['85', '188', '257', '806', '436', '699', '687', '278', '333', '588', '348', '908', '569', '934', '590', '34', '711', '309', '192', '487', '411', '547', '223', '372', '449', '183', '346', '51', '773', '66', '110']
['244', '465', '5', '162', '656', '534', '933', '654', '112', '758', '73', '639', '608', '100', '352', '556', '237', '102', '813', '113', '775', '155', '186', '949', '634', '780', '900', '914', '749', '652', '470']
['760', '728', '197', '796', '626', '82', '445', '522', '391', '697', '153', '285', '115', '575', '167', '159', '676', '508', '919', '752', '577', '885', '537', '432', '12', '724', '905', '603', '890', '655', '50']
['146', '362', '557', '358', '35', '191', '784', '475', '817', '26', '516', '754', '42', '409', '387', '267', '429', '548', '221', '355', '200', '384', '75', '553', '383', '370', '706', '96', '483', '86', '59']
