['a', 'cccccccc', 'ggggggg', 'kkkkkk', 'ooooo', 'ssss', 'www', 'AA', 'E', 'GGGGGGGG', 'KKKKKKK', 'OOOOOO', 'SSSSS', 'WWWW', '111', '55']
['c', 'eeeeeeee', 'iiiiiii', 'mmmmmm', 'qqqqq', 'uuuu', 'yyy', 'CC', 'G', 'IIIIIIII', 'MMMMMMM', 'QQQQQQ', 'UUUUU', 'YYYY', '333', '77']
['d', 'ffffffff', 'jjjjjjj', 'nnnnnn', 'rrrrr', 'vvvv', 'zzz', 'DD', 'H', 'JJJJJJJJ', 'NNNNNNN', 'RRRRRR', 'VVVVV', 'ZZZZ', '444', '88']
['cc', 'g', 'iiiiiiii', 'mmmmmmm', 'qqqqqq', 'uuuuu', 'yyyy', 'CCC', 'GG', 'K', 'MMMMMMMM', 'QQQQQQQ', 'UUUUUU', 'YYYYY', '3333', '777']
['dd', 'h', 'jjjjjjjj', 'nnnnnnn', 'rrrrrr', 'vvvvv', 'zzzz', 'DDD', 'HH', 'L', 'NNNNNNNN', 'RRRRRRR', 'VVVVVV', 'ZZZZZ', '4444', '888']
['ccc', 'gg', 'k', 'mmmmmmmm', 'qqqqqqq', 'uuuuuu', 'yyyyy', 'CCCC', 'GGG', 'KK', 'O', 'QQQQQQQQ', 'UUUUUUU', 'YYYYYY', '33333', '7777']
['ddd', 'hh', 'l', 'nnnnnnnn', 'rrrrrrr', 'vvvvvv', 'zzzzz', 'DDDD', 'HHH', 'LL', 'P', 'RRRRRRRR', 'VVVVVVV', 'ZZZZZZ', '44444', '8888']
['cccc', 'ggg', 'kk', 'o', 'qqqqqqqq', 'uuuuuuu', 'yyyyyy', 'CCCCC', 'GGGG', 'KKK', 'OO', 'S', 'UUUUUUUU', 'YYYYYYY', '333333', '77777']
['dddd', 'hhh', 'll', 'p', 'rrrrrrrr', 'vvvvvvv', 'zzzzzz', 'DDDDD', 'HHHH', 'LLL', 'PP', 'T', 'VVVVVVVV', 'ZZZZZZZ', '444444', '88888']
['ccccc', 'gggg', 'kkk', 'oo', 's', 'uuuuuuuu', 'yyyyyyy', 'CCCCCC', 'GGGGG', 'KKKK', 'OOO', 'SS', 'W', 'YYYYYYYY', '3333333', '777777']
['ddddd', 'hhhh', 'lll', 'pp', 't', 'vvvvvvvv', 'zzzzzzz', 'DDDDDD', 'HHHHH', 'LLLL', 'PPP', 'TT', 'X', 'ZZZZZZZZ', '4444444', '888888']
['cccccc', 'ggggg', 'kkkk', 'ooo', 'ss', 'w', 'yyyyyyyy', 'CCCCCCC', 'GGGGGG', 'KKKKK', 'OOOO', 'SSS', 'WW', '1', '33333333', '7777777']
['dddddd', 'hhhhh', 'llll', 'ppp', 'tt', 'x', 'zzzzzzzz', 'DDDDDDD', 'HHHHHH', 'LLLLL', 'PPPP', 'TTT', 'XX', '2', '44444444', '8888888']
['ccccccc', 'gggggg', 'kkkkk', 'oooo', 'sss', 'ww', 'A', 'CCCCCCCC', 'GGGGGGG', 'KKKKKK', 'OOOOO', 'SSSS', 'WWW', '11', '5', '77777777']
['ddddddd', 'hhhhhh', 'lllll', 'pppp', 'ttt', 'xx', 'B', 'DDDDDDDD', 'HHHHHHH', 'LLLLLL', 'PPPPP', 'TTTT', 'XXX', '22', '6', '88888888']
